production_year,production,ending_stocks,states_reporting,any_estimated,crop_year,coverage_ratio,z,score_a
2012,767.1400,194.9000,2,False,2012/13,,,
2013,2460.6900,580.1900,4,False,2013/14,,,
2014,1418.7500,252.6700,4,False,2014/15,,,
2015,2301.6500,399.0000,4,False,2015/16,,,
2016,1733.3500,312.3000,4,False,2016/17,,,
2017,2169.7900,466.6200,4,False,2017/18,0.2687,,
2018,2248.8200,770.0400,4,False,2018/19,0.3818,,
2019,1907.2500,664.2800,4,False,2019/20,0.3364,,
2020,2037.5000,597.8700,4,False,2020/21,0.2885,,
2021,2258.7300,655.7400,4,False,2021/22,0.3247,,
2022,1378.1800,390.6100,4,False,2022/23,0.1839,-3.0977,0.0000
2023,1535.9000,281.5000,4,False,2023/24,0.1432,-2.1462,0.0000
2024,2136.7500,371.3800,4,True,2024/25,0.2037,-0.5950,35.0000
2025,2030.0000,386.6000,4,True,2025/26,0.2068,-0.2916,43.0000
