outlook_year,andalusia,apulia,crete,score_c,andalusia_water_mm,andalusia_heat_days,andalusia_coverage,apulia_water_mm,apulia_heat_days,apulia_coverage,crete_water_mm,crete_heat_days,crete_coverage
2015,40.0000,41.0000,72.0000,46.0000,428.6000,2,1.0000,461.7000,0,1.0000,968.8000,0,1.0000
2016,40.0000,56.0000,25.0000,40.0000,467.4000,2,1.0000,568.6000,0,1.0000,433.2000,0,1.0000
2017,18.0000,33.0000,75.0000,31.0000,455.0000,9,1.0000,401.8000,0,1.0000,1176.3000,0,1.0000
2018,65.0000,52.0000,42.0000,58.0000,623.8000,0,1.0000,520.9000,0,1.0000,651.4000,0,1.0000
2019,41.0000,70.0000,75.0000,53.0000,348.2000,1,1.0000,646.2000,0,1.0000,1755.3000,0,1.0000
2020,55.0000,55.0000,33.0000,51.0000,488.9000,0,1.0000,539.6000,0,1.0000,1132.4000,3,1.0000
2021,16.0000,53.0000,61.0000,32.0000,401.6000,7,1.0000,529.9000,0,1.0000,1146.6000,0,1.0000
2022,24.0000,57.0000,64.0000,38.0000,467.5000,12,1.0000,547.4000,0,1.0000,1250.0000,0,1.0000
2023,50.0000,75.0000,57.0000,56.0000,386.9000,0,1.0000,725.9000,0,1.0000,1086.3000,0,1.0000
2024,47.0000,30.0000,20.0000,39.0000,459.6000,5,1.0000,408.0000,0,1.0000,877.0000,4,1.0000
2025,47.0000,29.0000,49.0000,44.0000,560.1000,11,1.0000,565.1000,1,1.0000,850.3000,0,1.0000
2026,56.0000,62.0000,54.0000,57.0000,594.7000,10,1.0000,621.4000,0,1.0000,981.6000,0,1.0000
